f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
1.4968327,-0.38551912,-0.08638764,1.4403219,-0.23112828,0.13989921,-1.3234377,-0.8660918,0.28426248,-1.4543675,-0.9291746,2.2705152,1.0555336,1.0949394,0.4456435,-0.76753104,-1.1435218,1.2062528,-2.0501802,-0.9112996,-0.15936807,-0.041581195,1.0272768,1.6252174,0.4959016,1.6116891,1.3816234,-1.03563,-1.6626309,-0.62017244
0.87759125,-0.56833047,1.4370148,2.2138476,0.51179105,0.44997975,-0.2993102,0.189822,-0.23443502,-0.47558066,-0.841348,-0.13108844,2.227304,0.77164984,0.27354932,-0.02509074,-0.6865854,0.42937937,-1.1712768,-0.024113148,-0.22167224,-0.1975807,0.99887514,1.6837845,-1.1265335,1.5266432,2.0298817,-0.46255112,-1.7061054,-0.2572075
1.2750856,-0.90053916,-0.2590413,0.7250989,1.246481,-0.49156857,-0.78438354,-0.97190624,0.115471646,-1.3967463,-1.2694033,0.61885554,1.018214,1.2432842,-0.56984675,-1.0768347,-0.1996519,1.6490191,-2.0429204,-0.022998452,-1.4771693,-1.5092416,-1.3154013,0.93191344,-0.033027194,1.5092086,0.73488253,0.54605055,-0.69214225,0.4950462
1.1751894,-0.67808276,-0.2251973,1.3320088,0.28275284,-0.8048211,-1.1458501,-0.8802604,-0.6436589,-0.44231203,-0.1564692,1.4372939,0.298791,2.0474358,0.28059554,-1.5358751,-1.4993998,1.5336697,-2.6366603,-0.4744282,-0.16845542,-1.1354188,0.9809625,1.3910744,0.25485718,0.764385,0.38224757,-1.336418,-1.5292562,0.5081242
1.6149659,0.08148659,-0.118053146,1.1532676,-0.10485336,-0.60782415,-0.40983835,-0.7661654,1.3121787,-1.574882,-1.164675,1.6657838,2.092526,1.7986574,-0.37546754,-1.106619,-0.4942741,0.40303618,-1.119565,0.04146871,-0.1345287,0.8895483,-0.7824242,1.8660142,0.18081155,0.75307465,1.3366048,-1.1713878,-0.6607246,0.088108525
1.8499918,-0.05298569,0.09805147,1.8192337,0.3263533,0.15576637,-1.6525433,-0.07859967,0.30869904,0.28227285,-1.3244046,0.33213022,0.2919512,1.5584285,0.12856251,-0.69597536,-1.2849706,1.244632,-1.8776551,-0.960932,-1.3758267,0.3330264,-0.5626319,1.6565514,-0.28924868,2.3423789,1.1110414,-0.4993884,-1.5365993,-0.16107559
2.1747901,0.14483547,-0.4570983,1.2765615,0.14340715,-0.110882685,-1.4660891,-0.21035203,0.02372522,-0.98551166,-0.9608994,2.034795,0.72455335,1.0942094,0.04074032,-0.8844759,-1.515254,1.7878773,-0.84313685,-0.98787177,-0.65577537,-0.1981068,0.34298065,0.9971342,0.5123084,2.5493088,0.39649323,-0.78527474,-1.6688751,0.5566603
0.6273197,0.7809897,1.5072496,0.8877223,0.15289953,-0.2762944,-1.32866,-0.023463562,-0.23439622,-0.33919072,-0.95711607,1.0907704,1.1803027,0.6619935,-0.21527708,-0.95895797,-0.5532673,0.7972069,-1.8652483,-0.45475948,-0.65543777,0.069764875,0.17848974,2.1847942,-0.4282811,1.7650012,1.2528127,-0.0886551,-2.2275333,0.59639376
0.6638705,-1.0816913,0.74821025,0.6817384,0.34381184,-0.5704264,-1.2573893,-1.1662786,1.3545269,-1.5537112,-0.22411741,1.0353379,1.2039545,1.137198,-0.83995736,-1.4905282,-1.2483742,0.682125,-1.4600612,-0.24486834,-0.6275818,-0.5493523,-0.37411368,1.8436074,-0.7011524,1.1333725,1.794639,0.28503454,-0.81160915,0.42311662
1.4623278,0.48654464,1.0373088,0.78065866,-0.73644,-0.8047925,-1.474286,-0.11671858,-0.2506804,0.035649747,-1.6298505,-0.06035521,0.5961249,0.73882437,-0.0090688765,-0.88399,-1.283676,0.046408966,-2.0255346,-1.2838234,-0.47163135,0.0914904,-0.77354926,2.2296557,-1.04767,0.5841006,0.65778446,-1.327171,-1.6543808,0.65821075
1.0627497,0.37105358,-0.1081492,1.7273984,0.25615525,0.046747826,-0.29702473,0.37368584,0.82237625,-0.6032091,-2.145305,0.66072464,1.9809514,0.59897435,1.1060297,-1.0933529,0.2521612,-0.19970098,-1.5088257,-0.47581875,-0.43071973,-1.1297039,-0.7868185,1.4367425,0.74425906,0.39778027,1.1151309,0.45673573,-1.616298,0.08201194
2.031168,0.47630873,-0.47626317,0.8217367,0.66540146,-0.94154656,-1.6866977,-1.2094613,0.05769042,-1.0819185,-0.7084047,1.8729199,2.0932455,2.0647352,-0.16133063,0.114999205,-0.8174483,1.1919992,-1.7552434,-1.2798934,-0.38702947,-0.25506225,0.19693676,0.36957616,0.33985355,-0.45303336,0.5209512,-1.2766792,-1.9791051,0.5088163
2.1937282,0.708343,0.7096913,1.0509932,-0.50102675,0.08750217,-0.7700449,0.6445808,0.8786788,-0.58487713,-0.95824486,1.1241052,1.9688562,0.72549707,-1.1400099,0.53053695,-0.9170958,0.3807489,-1.9713081,-1.0515893,-0.45612687,-0.036950395,0.37193185,1.8580046,-0.7650289,1.276424,1.787177,-1.2169658,-1.1814897,-0.23138273
1.6999035,1.5930316,-0.9246111,-0.44986367,0.57817787,-0.80086964,-1.640898,-0.8179161,0.31204724,-0.3444891,-1.499555,1.6626431,1.446838,1.5350769,0.43661526,0.5419498,0.3991433,0.28623956,-1.1500347,-1.5193139,0.13975196,-1.4811281,0.26854157,0.3655903,1.1034133,0.6993787,0.77713233,0.8232868,-1.878557,0.040962577
1.460812,1.0254365,-1.0867594,0.36725125,0.6504076,-0.7104662,-2.5309467,-0.9050004,0.017662931,-0.62709427,-1.1855102,0.11104846,0.5332385,1.4023204,1.609218,-0.2870111,-0.48787162,0.21365757,-1.0845404,-2.4167445,0.9891395,-1.4963337,0.6691941,1.432962,0.7033491,0.67768675,1.4435391,0.30223352,-1.9512004,-1.1584268
0.59084487,0.72223055,1.3727282,0.40493023,0.19978443,-0.29069638,-2.0102735,-1.4630134,-1.2520777,-1.3235997,-0.6345547,1.1956346,0.6057056,0.40445662,-1.1922573,-1.8533818,-0.5867619,0.32894507,-0.50291044,-0.35065296,0.14454362,-0.6593218,0.86627203,-0.1484105,-0.9870302,0.37108746,0.43024397,1.0127374,-2.3030434,0.132815
0.49823582,-0.5981401,0.61476946,0.21687981,0.6322292,0.318199,-1.2791098,-1.6159472,-0.1657607,-1.1905383,-1.371066,0.089290984,1.0501646,-0.024056837,-0.6367845,-2.6125739,-1.0112264,0.91623676,-1.3522433,-0.31361118,-1.1581316,0.13922703,0.12585366,1.0407754,-0.84215355,1.5093423,0.7353271,1.0930945,-0.14472999,0.37633532
